T23,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
660,Anguilla,2015,Major trading partner 2 (% of imports),United States,,60.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2021,Major trading partner 2 (% of imports),United States,,36.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2010,Major trading partner 3 (% of exports),Brazil,,0.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2021,Major trading partner 3 (% of exports),Brazil,,2.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2010,Major trading partner 3 (% of imports),United Kingdom,,1.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2015,Major trading partner 3 (% of imports),United Kingdom,,1.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2021,Major trading partner 3 (% of imports),United Kingdom,,4.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2015,Major trading partner 1 (% of exports),United Arab Emirates,,0.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2021,Major trading partner 1 (% of exports),United Arab Emirates,,52.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2010,Major trading partner 1 (% of imports),United States,,34.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2015,Major trading partner 1 (% of imports),United States,,55.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2021,Major trading partner 1 (% of imports),United States,,48.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2010,Major trading partner 2 (% of exports),United States,,29.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2015,Major trading partner 2 (% of exports),United States,,30.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2021,Major trading partner 2 (% of exports),United States,,9.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2010,Major trading partner 2 (% of imports),China,,8.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2015,Major trading partner 2 (% of imports),China,,5.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2021,Major trading partner 2 (% of imports),China,,7.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2010,Major trading partner 3 (% of exports),Netherlands,,0.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2015,Major trading partner 3 (% of exports),Netherlands,,0.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2021,Major trading partner 3 (% of exports),Netherlands,,7.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2010,Major trading partner 3 (% of imports),Japan,,2.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2015,Major trading partner 3 (% of imports),Japan,,3.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
28,Antigua and Barbuda,2021,Major trading partner 3 (% of imports),Japan,,4.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2010,Major trading partner 1 (% of exports),Brazil,,21.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2015,Major trading partner 1 (% of exports),Brazil,,17.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2021,Major trading partner 1 (% of exports),Brazil,,15.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2010,Major trading partner 1 (% of imports),China,,13.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
